!! 71927361
.3 171662404
.4 178436164
.5 185340996
.6 192376900
.7 199543876
.8 206841924
.9 214271044
.: 221831236
.; 229522500
.< 237344836
.= 245298244
.> 253382724
.? 261598276
.@ 269944900
.A 341436484
.B 350962756
.C 360620100
.D 370408516
.E 380328004
.F 390378564
.G 400560196
.H 410872900
.I 421316676
.J 431891524
.K 442597444
.L 453434436
.M 464402500
.N 475501636
.O 486731844
.P 498093124
.Q 509585476
.R 521208900
.S 532963396
.T 278422596
.U 287031364
.V 295771204
.W 304642116
.X 313644100
.Y 322777156
.Z 332041284
.[ 544848964
.\ 556865604
.] 569013316
.^ 581292100
._ 593701956
.` 606242884
.a 711288900
.b 725009476
.c 738861124
.d 752843844
.e 766957636
.f 781202500
.g 795578436
.h 810085444
.i 824723524
.j 839492676
.k 854392900
.l 869424196
.m 884586564
.n 899880004
.o 915304516
.p 930860100
.q 946546756
.r 962364484
.s 978313284
.t 618914884
.u 631717956
.v 644652100
.w 657717316
.x 670913604
.y 684240964
.z 697699396
.{ 994393156
.| 1010604100
.} 1026946116
.~ 1043419204
/! 72165025
/" 76580001
/# 81126049
/$ 85803169
/% 90611361
/& 95550625
/' 100620961
/( 105822369
/) 111154849
/* 116618401
/+ 122213025
/, 127938721
/- 133795489
/. 139783329
// 145902241
/0 152152225
/1 158533281
/2 165045409
/3 171688609
/4 178462881
/5 185368225
/6 192404641
/7 199572129
/8 206870689
/9 214300321
/: 221861025
/; 229552801
/< 237375649
/= 245329569
/> 253414561
/? 261630625
/@ 269977761
/A 341473441
/B 351000225
/C 360658081
/D 370447009
/E 380367009
/F 390418081
/G 400600225
/H 410913441
/I 421357729
/J 431933089
/K 442639521
/L 453477025
/M 464445601
/N 475545249
/O 486775969
/P 498137761
/Q 509630625
/R 521254561
/S 533009569
/T 278455969
/U 287065249
/V 295805601
/W 304677025
/X 313679521
/Y 322813089
/Z 332077729
/[ 544895649
/\ 556912801
/] 569061025
/^ 581340321
/_ 593750689
/` 606292129
/a 711342241
/b 725063329
/c 738915489
/d 752898721
/e 767013025
/f 781258401
/g 795634849
/h 810142369
/i 824780961
/j 839550625
/k 854451361
/l 869483169
/m 884646049
/n 899940001
/o 915365025
/p 930921121
/q 946608289
/r 962426529
/s 978375841
/t 618964641
/u 631768225
/v 644702881
/w 657768609
/x 670965409
/y 684293281
/z 697752225
/{ 994456225
/| 1010667681
/} 1027010209
/~ 1043483809
0! 72182016
0" 76597504
0# 81144064
0$ 85821696
